method,FAD,KL,source
MTC,3.12,0.32,manuscript_reported_summary
BGM,3.01,0.31,manuscript_reported_summary
VidMuse,3.00,0.29,manuscript_reported_summary
EAMG,2.42,0.27,manuscript_reported_summary
GVMG,1.99,0.26,manuscript_reported_summary
MGS,2.63,0.30,manuscript_reported_summary
VMG,1.94,0.22,manuscript_reported_summary
SMG,1.85,0.28,manuscript_reported_summary
MMT,2.19,0.30,manuscript_reported_summary
Ours,1.66,0.19,manuscript_reported_summary
